,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
328,Neemias Queta,BOS,25,39,27,12,14.6,5.1,2.2,3.2,66.7,0,0.1,0,0.8,1.1,72.7,1.4,2.3,3.7,0.7,0.6,0.3,0.7,1.8,13.1,0,0,2.8
329,Jonathan Mogbo,TOR,23,36,8,28,16.4,5.1,1.9,4.2,46.4,0.2,0.7,32,1,1.3,72.9,1.8,2.4,4.1,1.6,0.9,0.7,0.4,1.8,15,0,0,-3.9
330,Jordan Miller,LAC,25,28,14,14,13.2,5.1,1.9,4.5,42.9,0.3,1.3,22.2,0.9,1.2,78.8,0.8,1.1,1.9,1.1,0.8,0.5,0.2,0.8,10.3,0,0,-1.3
331,Luke Kornet,BOS,29,42,27,15,17,5,2,3.2,63,0,0,0,1,1.3,75,2.3,2.9,5.1,1.5,0.5,0.5,1,1.4,17.3,0,0,5.2
332,Alondes Williams,DET,25,1,0,1,3.7,5,2,2,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,6.5,0,0,6
332,Kevon Looney,GSW,28,40,20,20,16,5,2.2,4.3,52.4,0,0,0,0.6,1.3,44,2.9,4,6.9,1.8,0.6,0.8,0.4,2.1,18.6,2,0,0.3
334,Gary Payton II,GSW,32,35,19,16,13.3,5,2.1,3.9,55.1,0.3,1.3,22.7,0.4,0.6,66.7,1,1.9,2.9,1.3,0.6,0.7,0.3,1.5,12.7,0,0,-0.3
335,Marvin Bagley III,WAS,25,19,3,16,8.8,4.9,2,3.7,53.5,0.1,0.5,20,0.8,1.2,65.2,1.4,1.5,2.9,0.4,0.6,0.4,0.3,0.6,10.3,0,0,-1.4
336,Gabe Vincent,LAL,28,39,23,16,20,4.9,1.9,4.7,39.7,1,3.1,32,0.1,0.3,50,0.3,1,1.3,1.3,0.6,0.7,0.2,2.1,10.5,0,0,-0.4
337,Ryan Rollins,MIL,22,29,15,14,12,4.8,1.9,3.8,49.5,0.6,1.6,37,0.4,0.6,81.3,0.3,1.2,1.6,1.1,0.8,0.7,0.3,1.5,10.8,0,0,2.3
338,Zach Collins,SAS,27,34,16,18,12.1,4.8,1.7,3.8,45.7,0.4,1.3,28.9,0.9,1,88.6,1.1,1.8,2.9,1.5,0.7,0.4,0.4,2,12.3,0,0,-2.4
339,Malaki Branham,SAS,21,28,13,15,10.1,4.8,1.7,4,42.9,0.7,1.9,38.5,0.6,0.7,85,0.1,1,1.1,0.9,1,0.3,0.1,0.6,7.4,0,0,-3.1
340,David Roddy,ATL,23,26,9,17,13.2,4.7,1.7,3.5,47.8,0.6,1.7,37.2,0.7,0.8,81.8,0.4,2.3,2.7,1.2,0.8,0.5,0.3,0.7,11.2,0,0,-2.7
341,Tidjane Salaun,CHA,19,34,8,26,18.4,4.7,1.6,5,31.8,0.9,3.1,28,0.6,0.9,67.7,1,3.1,4.1,1.1,0.9,0.6,0.2,1.3,12.7,1,0,-4.1
342,Oscar Tshiebwe,UTA,25,3,1,2,15.3,4.7,1.3,2,66.7,0,0,0,2,2.7,75,1.7,5,6.7,0,0.3,1.3,0,3.3,16.3,0,0,3.7
342,Taylor Hendricks,UTA,21,3,0,3,24.8,4.7,1.3,6,22.2,1,4,25,1,1.3,75,1.7,3.3,5,0.7,0.7,1.7,1.3,2.7,20,0,0,-7.3
344,KJ Simpson,CHA,22,14,1,13,15.6,4.6,1.5,5.6,26.9,0.4,2.6,16.7,1.2,1.6,73.9,1.1,0.9,2.1,1.6,1.1,0.8,0.3,1.5,11.7,0,0,-5.6
345,Jett Howard,ORL,21,39,21,18,11.1,4.6,1.6,4.3,38.6,1,3,32.2,0.4,0.5,83.3,0.4,0.8,1.3,0.6,0.5,0.1,0.2,1,7.5,0,0,-1.5
346,Mo Bamba,LAC,26,28,18,10,12.6,4.6,1.7,3.7,46.6,0.5,1.8,30,0.6,0.9,68,0.9,3.4,4.3,0.6,0.7,0.3,1,1.8,13.9,0,0,-1.9
347,Dariq Whitehead,BKN,20,8,2,6,7,4.5,1.5,3.1,48,1.4,2.6,52.4,0.1,0.4,33.3,0.1,0.5,0.6,0.1,0.4,0.4,0.1,0.3,6.6,0,0,-0.6
347,Trentyn Flowers,LAC,19,2,0,2,7.9,4.5,2,4.5,44.4,0,1,0,0.5,0.5,100,0.5,1.5,2,0,0.5,0,0,1.5,6.4,0,0,6.5
349,Charles Bassey,SAS,24,30,14,16,10.4,4.5,1.9,3.3,58.6,0,0,0,0.6,1,62.1,1.6,2.7,4.3,0.4,0.7,0.4,0.9,1.4,13.5,2,0,-2.9
350,Antonio Reeves,NOP,22,18,1,17,9.2,4.4,1.7,4.2,40.8,0.6,2.1,28.9,0.4,0.4,87.5,0.3,0.7,1,0.6,0.3,0.3,0,0.4,7.3,0,0,-2.2
351,Julian Phillips,CHI,21,47,20,27,13.2,4.4,1.6,3.6,43.8,0.6,1.9,31.9,0.6,0.9,70.7,0.9,1.1,2,0.4,0.4,0.4,0.2,1.3,9,0,0,-1.2
352,Sandro Mamukelashvili,SAS,25,28,12,16,8.6,4.4,1.5,2.9,53.8,0.7,1.7,39.6,0.6,0.9,70.8,0.7,1.9,2.6,0.5,0.4,0.3,0.3,0.7,9.4,0,0,-0.2
353,Patty Mills,UTA,36,17,3,14,15.3,4.4,1.5,4.5,34.2,1,3.4,29.8,0.3,0.3,100,0.2,1.1,1.2,1.2,0.9,0.7,0.2,0.7,9.4,0,0,-0.1
354,Kris Murray,POR,24,39,14,25,14,4.3,1.8,3.8,46.3,0.4,1.5,26.7,0.4,0.8,46.7,1.1,1.2,2.2,0.9,0.6,0.4,0.2,0.9,9.5,0,0,-2.1
355,Reggie Jackson,PHI,34,27,10,17,12.1,4.3,1.6,4.2,38.9,0.8,2.4,34.4,0.2,0.3,85.7,0.2,1.1,1.4,1.5,0.6,0.5,0.1,1.1,9.3,0,0,-0.1
356,Tre Jones,SAS,25,26,12,14,16.1,4.3,1.6,3.3,48.2,0.3,0.9,30.4,0.8,1.1,78.6,0.6,1.6,2.2,3.6,0.7,0.6,0.2,1.2,13.9,0,0,0.3
357,Daniel Theis,NOP,32,38,10,28,16.3,4.3,1.6,3.4,47.3,0.2,1,24.3,0.8,1,83.8,1.2,3.2,4.3,1.6,0.7,0.5,0.5,1.8,14.2,1,0,-1.6
358,Kyle Lowry,PHI,38,28,14,14,19.8,4.3,1.3,3.5,35.7,0.9,2.6,34.2,0.9,1,82.8,0.4,1.6,2,2.8,0.7,1,0.3,1.9,14.2,0,0,-1.6
358,Mouhamed Gueye,ATL,22,4,0,4,13.1,4.3,2,6,33.3,0.3,3,8.3,0,0,0,0.8,2.5,3.3,0.3,0.3,0.5,0.3,0.5,10.5,0,0,0.3
360,Pat Connaughton,MIL,32,25,10,15,15,4.2,1.6,3.9,40.2,0.6,2.2,29.1,0.5,0.6,75,0.6,2.3,2.8,1.8,0.6,0.2,0.3,1.1,11,0,0,0.6
361,Jeff Green,HOU,38,13,8,5,10.5,4.2,1.5,2.8,54.1,0.6,1.8,34.8,0.5,0.7,77.8,0.2,1.2,1.4,0.2,0.2,0.2,0.1,1.1,6.9,0,0,-2.7
361,Paul Reed,DET,25,26,10,16,9.8,4.2,1.6,2.9,56,0.2,0.6,31.3,0.8,1,84,0.6,1.5,2.2,1,0.5,1.1,0.5,1.5,12.6,0,0,1.8
363,Gui Santos,GSW,22,22,11,11,12.5,4.2,1.5,3.1,48.5,0.9,2,43.2,0.3,0.5,58.3,1.1,1.5,2.6,1.2,0.5,0.4,0.1,1.4,10.2,0,0,2.5
364,Pelle Larsson,MIA,23,30,13,17,13,4.1,1.5,3.2,46.3,0.5,1.5,31.1,0.7,1,64.5,0.4,1.1,1.5,1,0.4,0.5,0.1,1.7,8.5,0,0,0.8
365,Aaron Holiday,HOU,28,33,22,11,11.1,4.1,1.4,3.2,42.1,0.8,2.1,39.1,0.5,0.6,89.5,0.2,0.8,1,1.2,0.5,0.4,0.1,0.9,8.1,0,0,2
366,Moussa Diabate,CHA,23,37,9,28,18.2,4.1,1.7,2.8,61.5,0,0,0,0.6,1.1,53.7,2.9,3.6,6.6,0.7,0.9,0.7,0.7,1.6,16.3,2,0,1.4
367,Gary Harris,ORL,30,20,12,8,16.3,4.1,1.5,3.6,40.3,1,2.7,35.2,0.2,0.4,50,0.5,0.8,1.3,0.5,0.5,0.7,0.3,0.7,8.6,0,0,2
368,Jae'Sean Tate,HOU,29,27,23,4,11.1,4,1.5,3,50.6,0.2,0.7,31.6,0.8,1.2,65.6,0.9,1.4,2.3,0.7,0.4,0.6,0.1,1.9,9.5,0,0,2.8
369,Cam Spencer,MEM,24,10,8,2,12.1,4,1.3,3,43.3,0.5,1.6,31.3,0.9,0.9,100,0.5,1.2,1.7,1.6,0.5,0.3,0.1,1.1,9.1,0,0,2.3
369,Josh Richardson,MIA,31,8,4,4,18.7,4,1.4,4.8,28.9,0.8,2.8,27.3,0.5,0.5,100,0.8,0.8,1.5,1.5,1,1,0.1,2.1,10.4,0,0,-3.9
371,Mason Plumlee,PHX,34,45,24,21,17.5,3.9,1.5,2.6,57.3,0,0,0,1,1.5,63.2,1.6,4.6,6.3,1.8,0.9,0.5,0.7,2.2,16.9,1,0,1.2
372,Micah Potter,UTA,26,18,6,12,18.3,3.9,1.4,3.5,39.7,0.9,2.7,34.7,0.2,0.2,100,1.1,2.9,4.1,0.8,0.7,0.3,0.5,1.2,11.7,0,0,-1.6
372,Richaun Holmes,WAS,31,9,0,9,9.5,3.9,1.6,2.8,56,0,0.1,0,0.8,1,77.8,1.2,2.1,3.3,0.4,0.4,0,0.4,0.9,9.4,0,0,1.7
374,Cody Williams,UTA,20,26,5,21,21,3.9,1.4,4.6,30,0.6,2.4,23.8,0.5,0.8,63.6,0.5,1.7,2.2,1.3,0.8,0.5,0.4,1.9,10.3,0,0,-8.2
375,Jamal Cain,NOP,25,18,3,15,12.8,3.8,1.4,3.2,43.9,0.5,1.7,30,0.6,0.9,62.5,0.9,1.7,2.6,0.6,0.4,0.5,0.4,1.2,10,0,0,-4.8
376,Andre Jackson Jr.,MIL,23,43,25,18,17.5,3.8,1.5,3.3,46.8,0.5,1.4,37.7,0.2,0.3,60,1.1,2.1,3.3,1.5,1.1,0.6,0.3,2.2,11.5,0,0,0
377,Dario Šarić,DEN,30,13,5,8,14.7,3.8,1.4,4.2,33.3,0.5,1.8,25,0.5,0.8,70,1,2.6,3.6,1.7,1.1,0.5,0.1,1.4,11.4,1,0,-3.2
378,Jeff Dowtin Jr.,PHI,27,22,5,17,11.2,3.7,1.5,3.6,40.5,0.3,1,27.3,0.5,0.8,70.6,0.1,1.1,1.2,1.5,0.1,0.4,0.2,0.6,9,0,0,-3.2
379,Dalen Terry,CHI,22,45,17,28,12.8,3.7,1.3,3,44.4,0.4,1.1,36,0.6,0.9,70,0.6,1,1.5,1.2,0.8,0.5,0.2,1.6,8.6,0,0,-3
380,Doug McDermott,SAC,33,29,15,14,8.5,3.7,1.2,2.9,42.9,1.1,2.4,43.7,0.1,0.2,60,0.1,0.5,0.6,0.1,0.2,0.1,0,0.9,4.9,0,0,0.7
381,Oso Ighodaro,PHX,22,37,17,20,15.7,3.6,1.6,2.8,55.8,0,0.1,0,0.5,0.9,54.3,0.9,2.5,3.4,1,0.6,0.5,0.4,1.6,11.1,0,0,0
382,Devin Carter,SAC,22,12,8,4,10,3.6,1.2,3.8,31.1,0.5,1.9,26.1,0.8,1,75,0.4,2,2.4,1.3,0.5,0.1,0.3,1.1,8.9,0,0,-0.7
383,Elijah Harkless,UTA,24,9,1,8,15,3.6,1.2,3.9,31.4,0.8,2.8,28,0.3,0.7,50,1,1.3,2.3,0.9,0.3,1.1,0.1,1.9,11,0,0,2.9
384,JT Thor,CLE,22,8,7,1,4.8,3.5,1.1,1.8,64.3,0.4,0.6,60,0.9,1,87.5,0.4,0.4,0.8,0.1,0.8,0.3,0.4,0.8,5.7,0,0,-3.9
385,Jevon Carter,CHI,29,21,6,15,6.3,3.5,1.2,2.8,43.1,0.8,2,41.5,0.3,0.4,75,0.1,0.7,0.8,0.7,0.3,0.2,0,0.3,6,0,0,1.9
386,DeAndre Jordan,DEN,36,34,22,12,11.7,3.5,1.6,2.4,64.6,0,0,0,0.4,0.9,41.4,1.3,3.2,4.5,0.8,0.7,0.3,0.5,1.3,11.7,0,0,-1
387,Isaac Jones,SAC,24,22,10,12,8,3.5,1.5,2.2,65.3,0,0.2,25,0.5,0.9,55,0.5,1,1.4,0.2,0.5,0.1,0.4,1,6.3,0,0,-2.1
388,Ousmane Dieng,OKC,21,25,20,5,10.4,3.4,1.2,3.3,37.3,0.5,1.9,27.1,0.4,0.6,68.8,0.4,1.8,2.2,0.7,0.2,0.5,0.2,0.9,9.1,0,0,0.8
389,Bruno Fernando,TOR,26,17,2,15,8.6,3.4,1.5,2.9,53.1,0,0,0,0.4,0.5,75,1.2,1.8,3,1.1,0.8,0.2,0.5,1.6,10.1,0,0,-1.3
390,Olivier-Maxence Prosper,DAL,22,37,21,16,9.1,3.4,1.2,2.7,43,0.2,0.9,27.3,0.8,1.4,59.6,0.8,1.4,2.2,0.6,0.3,0.4,0.1,0.5,8,0,0,-1
391,Cam Reddish,LAL,25,31,15,16,18.1,3.3,1.2,2.8,43,0.4,1.5,28.9,0.5,0.8,61.5,0.5,1.5,2,0.7,0.4,1,0.3,1.4,10.4,0,0,-2
392,Wendell Moore Jr.,DET,23,19,6,13,11.4,3.3,1.2,2.6,46,0.2,0.7,28.6,0.7,0.7,92.9,0.6,1.7,2.3,1.2,0.5,0.5,0.2,0.8,9.5,0,0,1
393,Nicolas Batum,LAC,36,46,27,19,17.4,3.3,1.1,2.8,38.5,0.9,2.3,37.4,0.2,0.3,78.6,0.7,2.2,2.8,1.3,0.5,0.7,0.4,1.6,11.4,0,0,1.3
394,Moses Brown,IND,25,9,3,6,5.1,3.2,1.4,2.2,65,0,0,0,0.3,0.6,60,0.4,1,1.4,0,0.7,0.2,0.1,0.7,5.3,0,0,-1.2
395,Reed Sheppard,HOU,20,32,22,10,11.3,3.2,1.2,3.9,31.5,0.6,2.3,27.4,0.2,0.2,83.3,0.3,0.9,1.3,1.2,0.6,0.5,0.3,0.9,8.4,0,0,-0.8
396,Jabari Walker,POR,22,34,11,23,10.3,3.2,1.3,3,44.6,0.1,0.9,16.1,0.4,0.7,58.3,0.9,2,2.9,0.5,0.5,0.6,0.1,1.2,8.9,0,0,-1
397,Bol Bol,PHX,25,11,2,9,6,3.2,1.2,2.2,54.2,0.3,1,27.3,0.5,0.9,60,0.5,1.2,1.6,0.1,0.5,0,0.2,0.2,5.4,0,0,0.5
398,Steven Adams,HOU,31,31,22,9,11.4,3.2,1.2,2,60.3,0,0,0,0.7,1.7,41.5,2.4,2.4,4.8,1.1,1,0.3,0.4,1,11.6,0,0,1.7
399,Blake Wesley,SAS,21,29,14,15,9.6,3.1,1.2,2.8,45,0.1,0.7,19,0.5,0.7,71.4,0.2,0.6,0.8,1.9,0.9,0.3,0.1,0.5,7.3,0,0,0.5
400,Damion Lee,PHX,32,10,2,8,6,3.1,0.9,2.9,31,0.3,1.5,20,1,1,100,0.1,0.8,0.9,0.7,0.5,0.2,0,0.2,5.3,0,0,0.6
401,Jock Landale,HOU,29,22,15,7,9.5,3.1,1.2,2.8,42.6,0.1,0.3,42.9,0.6,1,59.1,1.2,1.6,2.8,0.8,0.5,0.2,0.4,0.8,8.8,0,0,-0.8
402,Branden Carlson,OKC,25,15,13,2,6.4,3.1,1.1,2.3,45.7,0.8,1.9,42.9,0.1,0.1,100,0.3,1.3,1.7,0.4,0.1,0.1,0.4,0.7,7.1,0,0,2.8
403,Landry Shamet,NYK,27,17,12,5,10.8,3.1,1.2,2.9,42.9,0.5,1.7,31,0.1,0.2,25,0.2,0.6,0.8,0.5,0.4,0.4,0.1,0.7,5.9,0,0,2.4
404,Maxi Kleber,DAL,33,34,18,16,18.7,3,1.1,2.8,38.5,0.4,1.4,26.5,0.5,0.6,76.2,0.7,2.1,2.8,1.3,0.7,0.3,0.5,1.9,9.9,0,0,-0.5
405,David Duke Jr.,SAS,25,1,0,1,8.2,3,1,4,25,0,1,0,1,2,50,0,0,0,2,0,0,0,1,6,0,0,0
405,Jarred Vanderbilt,LAL,25,2,2,0,12.8,3,1.5,3.5,42.9,0,1,0,0,0,0,1.5,1.5,3,1.5,0.5,2.5,0,2,15.9,0,0,4.5
405,Kobe Brown,LAC,25,17,8,9,8.5,3,1.3,2.6,48.9,0.2,0.9,26.7,0.2,0.2,75,0.8,1.8,2.5,0.7,0.3,0.2,0.1,0.8,7.7,0,0,-1
405,Taze Moore,POR,26,2,0,2,9.9,3,1,5,20,0.5,2,25,0.5,1,50,2,2,4,0.5,1,1,0,0,10.6,0,0,-3.5
409,Luka Garza,MIN,26,15,12,3,4.3,2.9,1.2,2.1,56.3,0.2,0.7,30,0.3,0.5,62.5,0.4,0.7,1.1,0.1,0.3,0.1,0,0.6,4.2,0,0,0.8
410,Caleb Houstan,ORL,22,33,14,19,12.3,2.9,0.9,2.9,31.3,0.8,2.5,31,0.3,0.3,100,0.4,0.6,1,0.5,0.2,0.2,0.1,1.1,5.5,0,0,-2.4
411,Adem Bona,PHI,21,31,9,22,10.8,2.9,1,1.5,68.1,0,0,0,0.8,1.3,62.5,1,1.9,2.9,0.3,0.7,0.2,0.7,1.9,8.8,0,0,-1.1
412,Jae Crowder,SAC,34,7,2,5,13.1,2.9,0.9,2.4,35.3,0.4,1.7,25,0.7,0.9,83.3,0.9,1.6,2.4,0.6,0.6,0.4,0,1.4,7.3,0,0,-2
413,Orlando Robinson,TOR,24,13,9,4,8.6,2.8,1,2.6,38.2,0.1,0.6,12.5,0.8,1.1,71.4,0.6,1.5,2.1,0.8,0.7,0.3,0.2,1.2,7.4,0,0,-0.5
414,John Konchar,MEM,28,25,18,7,14.2,2.8,1,2.6,40.6,0.6,1.8,31.1,0.2,0.2,83.3,1,3,4,1,0.4,0.6,0.4,1,11.8,0,0,-0.4
415,A.J. Lawson,TOR,24,4,1,3,3.8,2.8,1,2,50,0.5,1.3,40,0.3,0.8,33.3,0.3,0.5,0.8,0,0,0,0,0,3.7,0,0,-2.5
416,Drew Peterson,BOS,25,13,10,3,9,2.7,0.8,1.8,45.8,0.5,1.4,38.9,0.5,0.5,85.7,0.4,1.6,2,0.6,0.4,0.2,0.2,0.9,6.6,0,0,2.8
417,Josh Minott,MIN,22,29,18,11,7.1,2.7,1.1,2.2,47.7,0.2,1,25,0.3,0.4,81.8,0.2,0.9,1.1,0.4,0.2,0.4,0.3,0.9,6.6,0,0,-0.4
418,Jalen Pickett,DEN,25,18,12,6,7.6,2.7,1.1,2.1,50,0.5,1.2,42.9,0.1,0.1,100,0.2,0.7,0.8,1.6,0.4,0.1,0.1,0.6,6.1,0,0,1.7
418,Nate Williams,HOU,25,6,6,0,3.5,2.7,1.2,1.5,77.8,0.3,0.7,50,0,0,0,0,0.5,0.5,0.2,0.2,0.3,0.2,0.2,4.9,0,0,1.5
420,Rayan Rupert,POR,20,32,11,21,8.3,2.6,1,2.3,41.3,0.3,1.1,29.4,0.4,0.5,75,0.6,0.6,1.2,0.5,0.5,0.3,0.1,0.6,5.3,0,0,-2.2
421,Craig Porter Jr.,CLE,24,28,22,6,8.1,2.6,1,1.8,58,0.3,0.5,53.3,0.2,0.3,75,0.1,0.8,0.9,1,0.5,0.2,0.4,0.4,6.4,0,0,0
422,Brandon Williams,DAL,25,16,8,8,6.4,2.6,0.9,2.3,38.9,0.2,0.8,25,0.6,0.8,76.9,0.1,0.6,0.8,1.1,0.6,0.1,0,0.4,5,0,0,-0.4
423,Delon Wright,MIL,32,25,14,11,15.3,2.6,0.9,3.1,28.2,0.5,1.8,26.1,0.3,0.6,57.1,0.6,1.1,1.7,1.8,0.6,0.8,0.3,0.7,10.2,0,0,0.4
424,E.J. Liddell,CHI,24,6,2,4,5.1,2.5,0.8,1.3,62.5,0.5,1,50,0.3,0.3,100,0.2,0.7,0.8,0.5,0.3,0.2,0.2,1.3,4.9,0,0,1.3
425,Johnny Davis,WAS,22,32,3,29,7.2,2.4,1,2.4,42.1,0.2,0.9,25,0.2,0.4,53.8,0.3,0.8,1.1,0.3,0.2,0.4,0.2,0.6,6,0,0,-0.5
426,Pat Spencer,GSW,28,18,8,10,6.8,2.4,0.9,2.5,37.8,0.1,0.6,20,0.4,0.6,70,0.5,0.8,1.3,1.5,0.6,0.4,0.1,0.4,7.3,0,0,-1
427,Jaylon Tyson,CLE,22,29,22,7,8.5,2.4,0.9,2.2,40,0.3,1,31,0.3,0.4,66.7,0.7,1.3,1.9,0.8,0.4,0.2,0,1,6.4,1,0,0.1
428,Reece Beekman,BKN,23,18,6,12,10.1,2.3,0.9,2.4,38.6,0.2,0.9,25,0.2,0.4,57.1,0.3,0.4,0.7,1.4,0.4,0.6,0.1,0.5,6.8,0,0,-1.5
429,Taj Gibson,CHA,39,19,6,13,10.5,2.3,0.9,2.2,43.9,0.1,0.1,50,0.4,0.6,58.3,1.4,1.8,3.2,0.6,0.6,0.3,0.4,1.5,8.6,0,0,-3.9
430,Tyler Smith,MIL,20,13,7,6,3.3,2.3,0.9,1.4,66.7,0.4,0.8,50,0.1,0.2,50,0.2,0.8,0.9,0.1,0.2,0,0.2,0.4,4,0,0,1.5
431,Duop Reath,POR,28,22,7,15,5.6,2.3,0.8,2,38.6,0.5,1.5,31.3,0.3,0.4,75,0.4,0.5,0.9,0.3,0.2,0,0.1,0.7,3.9,0,0,-2
432,Chris Duarte,CHI,27,16,4,12,4.6,2.3,0.8,1.6,48,0.4,0.9,42.9,0.4,0.5,75,0.3,0.9,1.3,0.5,0.1,0,0,0.4,4.4,0,0,0.5
432,Lester Quinones,PHI,24,4,1,3,4.2,2.3,1,2,50,0,0.8,0,0.3,0.3,100,0.8,0.3,1,0.3,1,0,0,0,2.8,0,0,-1
432,Vlatko Čančar,DEN,27,4,1,3,8.6,2.3,1,1.8,57.1,0.3,0.5,50,0,0,0,0.8,1.3,2,0,0.5,0,0.3,1,4.9,0,0,-0.5
435,Kai Jones,LAC,24,27,14,13,7.6,2.2,0.9,1.3,71.4,0,0.1,0,0.3,0.4,75,0.6,1.1,1.7,0.4,0.4,0.2,0.5,0.9,6.5,0,0,-0.2
436,Trey Jemison III,LAL,25,18,3,15,10.2,2.2,0.8,1.8,46.9,0,0,0,0.5,1.3,39.1,1.3,1.5,2.8,0.6,0.6,0.4,0.4,1.7,8.2,0,0,-1.1
437,Pete Nance,PHI,24,7,3,4,9.8,2.1,0.7,2.1,33.3,0.6,1.7,33.3,0.1,0.3,50,0.3,1.1,1.4,0.4,0,0.1,0,1.4,4.9,0,0,-1.7
438,Dillon Jones,OKC,23,28,23,5,8.6,2.1,0.8,2.3,33.8,0.3,1.3,18.9,0.3,0.5,57.1,0.6,1.2,1.9,0.8,0.4,0.2,0.1,1,6,0,0,0
439,Patrick Baldwin Jr.,WAS,22,21,1,20,4.5,2.1,0.8,1.5,51.6,0.5,0.9,52.6,0.1,0.2,50,0.2,0.7,1,0.1,0.2,0.1,0.1,0.2,3.9,0,0,1.5
440,Hunter Tyson,DEN,24,33,20,13,7.5,2.1,0.7,1.8,37.3,0.3,1.1,30.6,0.4,0.6,73.7,0.3,1.2,1.5,0.4,0.3,0.2,0.1,0.9,5,0,0,-1.5
441,Christian Koloko,LAL,24,25,16,9,9,2,0.9,1.5,60.5,0,0.1,0,0.2,0.2,83.3,1,1.2,2.2,0.4,0.3,0.3,0.3,1.2,6.9,0,0,-0.5
442,Adama Sanogo,CHI,22,4,2,2,5.4,2,1,1.8,57.1,0,0,0,0,0,0,1.3,0.3,1.5,0.3,0.3,0,0,0.3,3.9,0,0,-1.3
442,Alex Reese,OKC,25,1,1,0,1.9,2,1,1,100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2,0,0,3
442,Cory Joseph,ORL,33,29,12,17,7.6,2,0.7,2,35.6,0.5,1.4,35,0.1,0.1,50,0.2,0.6,0.8,0.8,0.4,0.4,0.1,0.6,5.3,0,0,-0.8
442,Jalen Hood-Schifino,LAL,21,2,2,0,7.1,2,0.5,0.5,100,0,0,0,1,1,100,0.5,0,0.5,0.5,0.5,0,0.5,1.5,4.4,0,0,4
442,Johnny Furphy,IND,20,31,17,14,7.4,2,0.7,1.8,38.2,0.4,1,34.4,0.3,0.3,100,0.4,0.6,1.1,0.3,0.3,0.3,0.2,0.7,4.9,0,0,-0.8
442,MarJon Beauchamp,MIL,24,23,13,10,4.3,2,0.7,1.7,41,0.3,0.8,31.6,0.3,0.4,80,0.2,0.9,1,0.2,0.5,0.1,0,0.3,3.4,0,0,0.7
442,TyTy Washington Jr.,PHX,23,4,0,4,6.9,2,0.8,1.5,50,0.5,0.8,66.7,0,0,0,0,0.3,0.3,1,0.3,0.5,0,0,5.1,0,0,-0.3
449,Tyler Kolek,NYK,23,27,18,9,5.3,2,0.7,1.7,38.3,0.4,1,39.3,0.2,0.2,100,0.1,0.5,0.6,0.8,0.3,0.3,0,0.4,4.4,0,0,-0.3
450,Anthony Gill,WAS,32,33,3,30,5.9,1.9,0.6,1.3,50,0.2,0.4,35.7,0.5,0.8,60.7,0.2,0.7,0.8,0.2,0.2,0.2,0,0.5,3.7,0,0,-0.7
451,Jordan McLaughlin,SAC,28,27,14,13,6.8,1.9,0.6,1.6,38.1,0.4,0.9,40,0.4,0.5,71.4,0.1,0.6,0.8,0.9,0.4,0.4,0,0.5,4.9,0,0,0.2
452,Jaden Springer,BOS,22,24,17,7,5.6,1.9,0.5,1.3,37.5,0.3,0.7,35.3,0.6,0.9,71.4,0.2,0.8,1,0.4,0.2,0.5,0,0.7,5.2,0,0,0.6
452,Tristan Vukcevic,WAS,21,8,1,7,3.7,1.9,0.8,1.9,40,0.1,1,12.5,0.3,0.4,66.7,0.3,0.4,0.6,0.4,0.1,0,0.1,0.4,3.4,0,0,-1.6
454,Tristan Thompson,CLE,33,23,18,5,7.8,1.9,0.8,1.8,46.3,0,0.1,0,0.2,0.9,25,0.7,2,2.7,0.6,0.4,0,0.3,0.9,6.7,0,0,-1.1
455,Dominick Barlow,ATL,21,10,2,8,5.9,1.8,0.6,1.6,37.5,0.2,0.5,40,0.4,0.6,66.7,0.1,0.8,0.9,0.3,0,0.3,0,0.5,4.2,0,0,0.3
456,Enrique Freeman,IND,24,18,5,13,7.5,1.8,0.7,1.4,48,0.1,0.3,16.7,0.4,0.7,53.8,0.3,0.7,1,0.4,0.3,0.1,0.1,0.9,4,0,0,-2.7
456,Jericho Sims,NYK,26,36,23,13,11.7,1.8,0.8,1.3,60.9,0,0,0,0.2,0.4,61.5,1.4,2.2,3.6,0.6,0.6,0.2,0.3,1.3,7.9,0,0,0.7
458,Markieff Morris,DAL,35,7,5,2,5.8,1.7,0.7,3.1,22.7,0.3,1.9,15.4,0,0,0,0,1.1,1.1,0.6,0.3,0.1,0.1,0.3,4.5,0,0,-1.4
459,Collin Gillespie,PHX,25,3,2,1,2.3,1.7,0.7,1,66.7,0.3,0.3,100,0,0,0,0.3,0,0.3,0,0,0,0,0.3,2.1,0,0,-1
460,Ariel Hukporti,NYK,22,16,11,5,7.5,1.6,0.6,1,62.5,0,0,0,0.4,0.6,60,0.3,1.4,1.8,0.4,0.7,0,0.7,0.9,5.7,0,0,-2.5
461,Keshad Johnson,MIA,23,10,5,5,5.7,1.6,0.7,1.2,58.3,0.1,0.4,25,0.1,0.6,16.7,0.2,1.5,1.7,0.3,0.3,0.1,0.4,0.5,5.3,0,0,0.1
