,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
232,Jalen Smith,CHI,24,44,18,26,15.3,8.1,2.9,6.3,45.8,1.1,3.4,33.6,1.3,1.5,83.6,1.5,4.1,5.6,0.8,0.6,0.3,0.8,1.5,18.7,1,0,-1.8
233,Trayce Jackson-Davis,GSW,24,45,22,23,19.7,8.1,3.5,6.1,57.2,0,0,0,1.1,1.9,59.5,2.4,3.9,6.3,2.2,0.9,0.5,0.8,1.4,21.7,4,0,-1.6
234,Tyrese Martin,BKN,25,31,7,24,21.3,8.1,3,7.5,39.9,1.6,4.5,35.3,0.5,0.8,65.4,1.1,2.8,3.9,1.8,1.3,0.4,0.2,1.1,16,1,0,-6.4
235,Peyton Watson,DEN,22,47,28,19,24.1,8.1,2.9,6.2,46.8,0.7,2,34.4,1.6,2.1,75.2,0.8,2.6,3.4,1.5,0.9,0.9,1.3,1.7,19.9,0,0,0.9
236,Justin Champagnie,WAS,23,28,4,24,19.8,8.1,3.2,6.2,51.1,1.1,3,38.6,0.6,1,63,1.5,3.4,4.9,1,0.9,1.1,0.6,2,19.7,2,0,-4.1
237,Al Horford,BOS,38,36,24,12,26.8,8.1,3,7.1,41.6,1.8,5.1,35.9,0.3,0.3,83.3,1.1,4.2,5.3,2.1,0.8,0.6,0.9,1.5,21.3,1,0,5.7
238,Jay Huff,MEM,27,42,28,14,13.4,8,2.8,5.4,52.4,1.5,3.6,41.7,0.9,1.1,77.1,0.5,1.8,2.3,0.7,0.7,0.3,1,1.5,14.8,0,0,-0.7
239,Aaron Nesmith,IND,25,11,6,5,20.7,8,2.8,5.5,50.8,1,2.2,45.8,1.4,1.5,88.2,0.5,2.9,3.5,1,0.8,0.4,0.3,2.8,14.7,0,0,2.7
239,GG Jackson,MEM,20,5,4,1,16.6,8,2.8,7.8,35.9,1,4,25,1.4,1.8,77.8,1,2.4,3.4,0.8,1.2,0.4,0,1,13.3,0,0,-2.4
241,Kevin Huerter,SAC,26,42,22,20,21.2,8,3,7.3,41.2,1.5,4.8,30,0.5,0.7,71.4,0.5,2.4,2.8,1.7,0.9,0.9,0.4,1.7,16.8,0,0,-1.4
242,Mike Conley,MIN,37,43,26,17,24.8,8,2.5,6.8,36.8,1.8,4.6,38.6,1.2,1.3,89.7,0.5,2.1,2.6,4.4,1.1,1.3,0.2,1.4,21.1,1,0,2
243,AJ Green,MIL,25,38,23,15,21.8,7.9,2.7,5.9,44.7,2.3,5.2,44.2,0.3,0.4,85.7,0.3,2.1,2.3,1.3,0.6,0.5,0.1,2.2,13.9,0,0,3.6
244,Max Strus,CLE,28,19,14,5,24.6,7.9,2.8,7.1,40.3,2,5.6,35.8,0.2,0.3,80,0.8,3.3,4.2,3.1,0.9,0.6,0.4,1.9,19.4,0,0,3.1
245,Garrison Mathews,ATL,28,38,16,22,18.5,7.9,2.3,5.7,39.8,1.9,4.8,39.3,1.4,1.8,82.1,0.3,1.4,1.7,1.4,0.7,0.7,0.3,1.7,14.3,0,0,-1.5
246,Cody Martin,CHA,29,39,11,28,24.8,7.8,3,6.9,43.3,1,3.2,32.3,0.9,1.3,69.4,1,3.5,4.5,2.3,1.1,1.1,0.7,1.8,20.9,0,0,-1.4
247,Brandon Clarke,MEM,28,44,30,14,18.5,7.7,3.5,5.6,61.3,0,0.4,6.3,0.8,1.2,68.6,1.8,3.2,5,1,0.6,0.8,0.5,2.4,18.7,0,0,4.4
248,Day'Ron Sharpe,BKN,23,26,6,20,17.3,7.7,3,6.3,48.2,0.2,1.1,14.3,1.5,1.9,76,2.9,3.4,6.3,1.4,1.2,0.7,0.5,1.8,19.9,3,0,0.4
249,Jake LaRavia,MEM,23,43,27,16,21.6,7.7,2.7,5.4,49.1,0.9,2,43.7,1.5,2.1,71.1,1.4,3,4.4,3,1.5,0.9,0.4,2,19.9,2,0,3.4
250,Keon Ellis,SAC,25,45,23,22,21.5,7.6,2.5,5.3,47.5,1.6,3.8,43.5,1,1.1,86,0.8,1.6,2.4,1.3,0.8,1.4,0.7,1.9,18,0,0,2.2
251,Cason Wallace,OKC,21,44,36,8,27.8,7.5,3.1,6.9,44.9,1,3,34.1,0.3,0.4,77.8,1.1,2.4,3.5,2.5,0.7,1.7,0.6,2.3,21.6,0,0,6
252,Quinten Post,GSW,24,8,2,6,12.5,7.5,2.8,6.1,44.9,1.5,4,37.5,0.5,0.5,100,0.8,1.8,2.5,1.6,0.6,0.1,0.3,2,13.4,0,0,0.4
253,Sam Hauser,BOS,27,39,26,13,20.1,7.5,2.7,6.2,43.4,2.1,5.3,38.6,0.1,0.1,100,0.7,2.3,2.9,1,0.3,0.7,0.2,1.1,15,0,0,3.7
254,Kyshawn George,WAS,21,41,5,36,25.6,7.5,2.6,7.4,34.7,1.4,5.1,27.8,0.9,1.2,76,0.8,2.9,3.6,2.2,1.3,0.8,0.6,3,18.1,0,0,-6.1
255,Josh Green,CHA,24,41,11,30,28.2,7.4,2.6,6.1,42.6,1.5,3.6,41.2,0.8,1.1,71.1,1.1,1.8,2.9,1.4,0.9,1.1,0.3,2.8,16.3,0,0,-4.2
256,Cameron Payne,NYK,30,42,30,12,14.6,7.4,2.6,6.1,42.7,1.5,3.8,39.9,0.7,0.8,90.6,0.3,1.2,1.5,2.5,0.7,0.6,0.3,1.7,14.8,0,0,3.5
257,Johnny Juzang,UTA,23,32,9,23,17.8,7.3,2.5,5.9,41.8,1.7,4.2,40,0.7,0.8,88,0.6,2.2,2.8,1,0.5,0.4,0.2,1.9,13.3,0,0,-3.2
258,Taurean Prince,MIL,30,45,26,19,25.6,7.3,2.6,5.7,45.3,1.7,3.7,45.8,0.4,0.5,77.3,0.5,3.1,3.7,2,1,0.8,0.1,2,16.6,1,0,-0.2
259,Ryan Dunn,PHX,22,41,22,19,19.8,7.2,3,6.6,45,1.1,3.4,31.9,0.2,0.5,47.6,1,2.4,3.4,1,0.4,0.5,0.6,2.4,15.8,1,0,-1
260,Justin Edwards,PHI,21,17,7,10,21,7.2,2.8,6,46.1,1.2,3.6,32.8,0.5,0.8,61.5,0.9,1.8,2.8,1.2,0.9,0.8,0.2,2.1,14.3,0,0,-2.9
261,Vasilije Micić,CHA,31,33,7,26,20.9,7.2,2.5,7.3,34.7,1.2,3.5,35.1,0.8,1.1,80,0.6,1.8,2.4,3.5,2.1,0.4,0,1.2,14.4,1,0,-2.3
262,Eric Gordon,PHI,36,35,12,23,19.8,7.1,2.3,5.3,43.3,1.5,3.6,41.3,1,1.4,75,0.2,1,1.1,1.6,0.7,0.7,0.3,0.8,13.1,0,0,-1.6
263,Lonzo Ball,CHI,27,27,12,15,20.9,7.1,2.4,6.4,37.2,1.9,5.3,34.7,0.5,0.6,82.4,0.6,2.8,3.4,3.5,1.2,1.6,0.5,1.6,21.4,0,0,2.6
264,Andre Drummond,PHI,31,28,10,18,19.2,7.1,2.9,5.7,50.9,0,0.4,9.1,1.3,2.2,57.4,2.5,5.1,7.6,0.6,1.7,1.1,0.4,2.4,19.9,3,0,-5.1
265,Isaiah Jackson,IND,23,5,1,4,16.8,7,2.8,4.6,60.9,0,0,0,1.4,2.8,50,2.2,3.4,5.6,1,1,0.6,1.6,2.8,20.8,0,0,2
265,Kelly Olynyk,TOR,33,21,5,16,15.2,7,2.3,4.6,51,0.8,1.7,48.6,1.5,2,78,0.9,2.5,3.4,2.3,1.5,0.7,0.4,2.2,16.4,0,0,-0.6
267,Bones Hyland,LAC,24,19,8,11,11.3,6.9,2.2,5.8,37.3,1.5,4.1,37.7,1.1,1.3,87.5,0.3,1,1.3,1.5,1.2,0.9,0.2,1.2,12.8,0,0,-1.8
268,Torrey Craig,CHI,34,9,3,6,12.5,6.9,2.4,5,48.9,1.7,3.9,42.9,0.3,0.4,75,0.9,1.9,2.8,0.6,0,0.2,0.1,1.7,12.1,0,0,-3.1
269,Ja'Kobe Walter,TOR,20,28,9,19,18.5,6.9,2.5,6.6,38.6,0.9,3.1,28.4,0.9,1.4,65.8,0.7,1.6,2.3,1.4,0.8,0.5,0.2,1.9,13.3,1,0,-2.5
270,Jared Butler,WAS,24,31,3,28,11.1,6.8,2.7,5.5,48.8,0.5,1.3,37.5,1,1.3,77.5,0.5,0.9,1.3,2.5,0.9,0.4,0.2,1.2,13,0,0,-1.2
270,Josh Okogie,CHA,26,31,11,20,15.6,6.8,2.5,5.2,47.5,0.8,2,39.7,1.1,1.6,71.4,1.3,1.7,3,0.8,0.7,1.2,0.4,1.3,15.7,1,0,0.6
272,Trey Lyles,SAC,29,37,19,18,20,6.8,2.3,5.7,40.5,1.3,3.9,34.3,0.8,1.1,73.8,1.1,3.6,4.8,0.9,0.6,0.6,0.5,1.2,16.4,1,0,-0.4
273,Elfrid Payton,NOP,30,7,0,7,20.5,6.7,3.3,6.6,50,0,0.1,0,0.1,0.3,50,0.7,2.7,3.4,6.9,2.9,1.4,0.4,1.4,23.8,1,0,-1.6
274,Ricky Council IV,PHI,23,38,12,26,14.8,6.7,2.2,5.3,41.5,0.7,2.3,29.1,1.7,2,84,0.7,1.7,2.4,0.9,0.5,0.4,0.2,0.9,12.1,1,0,-2
275,Haywood Highsmith,MIA,28,44,22,22,24.2,6.6,2.5,5.2,48.5,1.2,3,40.9,0.4,0.5,66.7,0.8,2.3,3.2,1.2,0.8,1,0.6,2,16.3,0,0,-0.9
276,Sam Merrill,CLE,28,39,30,9,18.3,6.6,2.2,5.8,37.3,1.7,5.1,33.5,0.6,0.6,95.7,0.5,1.4,1.9,1.6,0.4,0.5,0.2,1.8,13,0,0,4.1
277,Vít Krejčí,ATL,24,32,14,18,20.2,6.5,2.3,5.5,42.6,1.3,3.6,36.2,0.5,0.7,69.6,0.4,2.1,2.4,2.7,0.9,0.8,0.5,1.8,16.4,0,0,-1.6
278,Keaton Wallace,ATL,25,19,8,11,18.1,6.4,2.4,5.5,43.8,1.1,2.9,38.2,0.5,0.5,100,0.3,1.4,1.7,2.3,1.3,1.1,0.3,1.2,14.7,0,0,-2.1
279,KJ Martin,PHI,24,24,9,15,20,6.4,2.5,4.1,61.6,0.3,0.9,38.1,1,1.2,82.8,0.9,2.1,3,0.8,0.5,0.5,0.7,2.6,14.1,0,0,1.2
280,Ajay Mitchell,OKC,22,34,29,5,16.5,6.4,2.5,4.9,50.6,0.6,1.5,43.1,0.8,1,84.8,0.5,1.5,2,1.7,0.8,0.7,0.1,1.7,12.9,1,0,3.4
281,Ben Simmons,BKN,28,31,12,19,25.3,6.4,2.9,5.2,55.9,0,0,0,0.6,0.8,69.2,0.9,4.4,5.2,7.1,2.8,0.8,0.5,2.5,24.3,1,0,-2.2
